x,y,test_stat,p_value,dof,chi_result,cramers,theils,rev_theils
owner_team_name,owner,5832.000000000002,0.0,81,Dependent (reject H0),1.0000000000000002,1.0000000000000002,1.0
owner_team_name,opp_owner_team_name,159.31006009615382,4.816748346760453e-07,81,Dependent (reject H0),0.11659888405468151,0.11659888405468151,0.11659888405468151
owner_team_name,opp_owner,159.31006009615385,4.816748346760387e-07,81,Dependent (reject H0),0.11659888405468154,0.11659888405468154,0.11659888405468154
owner,opp_owner_team_name,159.31006009615385,4.816748346760387e-07,81,Dependent (reject H0),0.11659888405468154,0.11659888405468154,0.11659888405468154
owner,opp_owner,159.31006009615385,4.816748346760387e-07,81,Dependent (reject H0),0.11659888405468154,0.11659888405468154,0.11659888405468154
opp_owner_team_name,opp_owner,5832.000000000002,0.0,81,Dependent (reject H0),1.0000000000000002,1.0000000000000002,1.0
